stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,transport_type
18405,18405,"УЛ. ОРДЖОНИКИДЗЕ, УГ. ПР. КОСМОНАВТОВ",59.843397,30.356619,0,2,bus
18407,18407,УЛ. ТИПАНОВА,59.853329,30.352355,0,2,bus
18406,18406,"ПР. КОСМОНАВТОВ, 50",59.848148,30.354495,0,2,bus
18400,18400,"ПР. КОСМОНАВТОВ, 50",59.847739,30.354275,0,2,bus
18413,18413,"КАРАВАЕВСКАЯ УЛ., УНИВЕРСАМ",59.832702,30.505933,0,2,bus
18415,18415,"КАРАВАЕВСКАЯ УЛ, 35",59.830500,30.513094,0,2,bus
18414,18414,УЛ.ТЕЛЬМАНА,59.892468,30.489882,0,2,bus
18409,18409,"ПР. КОСМОНАВТОВ, 20",59.860857,30.348983,0,2,bus
18408,18408,ПОЛИКЛИНИКА № 51,59.856980,30.350690,0,2,bus
18411,18411,ПЛ. КОНСТИТУЦИИ,59.853491,30.304563,0,2,bus
18410,18410,"БАССЕЙНАЯ УЛ., УГ. НОВОИЗМАЙЛОВСКОГО ПР.",59.864282,30.304976,0,2,bus
18391,18391,"ПР. КОСМОНАВТОВ, УГ. БАССЕЙНОЙ УЛ.",59.864267,30.347130,0,2,bus
18389,18389,ПЛ. КОНСТИТУЦИИ,59.853634,30.305051,0,2,bus
18398,18398,ПОЛИКЛИНИКА № 51,59.856330,30.350493,0,2,bus
18399,18399,УЛ. ТИПАНОВА,59.852338,30.352188,0,2,bus
18396,18396,ТОВАРИЩЕСКИЙ ПР.,59.915109,30.484293,0,2,bus
18397,18397,КАНОНЕРСКИЙ ОСТРОВ,59.904764,30.217497,0,2,bus
18394,18394,"УЛ. ТЕЛЬМАНА, 45",59.892887,30.483541,0,2,bus
18395,18395,ТОВАРИЩЕСКИЙ ПР.,59.915292,30.486068,0,2,bus
18392,18392,"ПР. КОСМОНАВТОВ, 20",59.860324,30.348895,0,2,bus
18393,18393,"УЛ. ТЕЛЬМАНА, 45",59.892521,30.485044,0,2,bus
18370,18370,"УЛ. КОСТЮШКО, 54",59.844560,30.304590,0,2,bus
18369,18369,"УЛ. КОСТЮШКО, 14",59.847830,30.297250,0,2,bus
18368,18368,"КУБИНСКАЯ УЛ., УГ. УЛ. КОСТЮШКО",59.848633,30.291603,0,2,bus
18353,18353,"М.КАРПАТСКАЯ, УГ.УЛ.ОЛЕКО ДУНДИЧА",59.834860,30.425604,0,2,bus
18355,18355,"КУБИНСКАЯ УЛ., 34",59.861346,30.294778,0,2,bus
